_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
76,2020-12-02T00:00:10.636Z,/sonometros,NoiseLevelObserved,T248684-daily,59.6,61.3,61.9,59.6,52.0,2020-12-01
77,2020-12-03T00:00:13.876Z,/sonometros,NoiseLevelObserved,T248684-daily,59.2,60.6,61.6,61.4,51.0,2020-12-02
78,2020-12-04T00:00:13.771Z,/sonometros,NoiseLevelObserved,T248684-daily,60.6,62.0,63.3,62.1,53.8,2020-12-03
79,2020-12-05T00:00:17.553Z,/sonometros,NoiseLevelObserved,T248684-daily,61.3,62.6,63.9,63.6,53.7,2020-12-04
80,2020-12-06T00:00:17.995Z,/sonometros,NoiseLevelObserved,T248684-daily,62.3,62.8,66.0,67.0,56.6,2020-12-05
81,2020-12-07T00:00:20.77Z,/sonometros,NoiseLevelObserved,T248684-daily,58.5,59.9,61.6,58.9,53.0,2020-12-06
82,2020-12-08T00:00:23.131Z,/sonometros,NoiseLevelObserved,T248684-daily,62.0,63.2,65.1,64.8,55.7,2020-12-07
83,2020-12-09T00:00:24.648Z,/sonometros,NoiseLevelObserved,T248684-daily,58.4,60.0,60.7,60.0,49.8,2020-12-08
84,2020-12-10T00:00:26.593Z,/sonometros,NoiseLevelObserved,T248684-daily,59.5,60.7,62.3,62.2,52.5,2020-12-09
85,2020-12-11T00:00:28.401Z,/sonometros,NoiseLevelObserved,T248684-daily,60.5,61.7,63.5,63.4,53.7,2020-12-10
86,2020-12-12T00:00:33.26Z,/sonometros,NoiseLevelObserved,T248684-daily,63.1,63.0,67.3,69.0,58.0,2020-12-11
87,2020-12-13T00:00:36.305Z,/sonometros,NoiseLevelObserved,T248684-daily,62.6,63.5,66.0,66.3,56.7,2020-12-12
88,2020-12-14T00:00:38.590Z,/sonometros,NoiseLevelObserved,T248684-daily,58.6,59.9,61.7,59.7,53.1,2020-12-13
89,2020-12-15T00:00:41.37Z,/sonometros,NoiseLevelObserved,T248684-daily,60.8,62.1,63.4,63.3,53.1,2020-12-14
90,2020-12-16T00:00:42.569Z,/sonometros,NoiseLevelObserved,T248684-daily,59.7,60.9,62.5,62.2,52.8,2020-12-15
91,2020-12-17T00:00:45.189Z,/sonometros,NoiseLevelObserved,T248684-daily,61.7,62.2,65.0,67.2,53.7,2020-12-16
92,2020-12-18T00:00:46.893Z,/sonometros,NoiseLevelObserved,T248684-daily,60.6,61.8,63.2,63.9,52.1,2020-12-17
93,2020-12-19T00:00:48.825Z,/sonometros,NoiseLevelObserved,T248684-daily,62.5,63.5,65.8,66.1,56.2,2020-12-18
94,2020-12-20T00:00:52.231Z,/sonometros,NoiseLevelObserved,T248684-daily,64.7,66.0,67.5,67.8,57.0,2020-12-19
95,2020-12-21T00:00:54.693Z,/sonometros,NoiseLevelObserved,T248684-daily,57.6,59.2,59.9,58.1,49.9,2020-12-20
96,2020-12-22T00:00:56.536Z,/sonometros,NoiseLevelObserved,T248684-daily,62.7,64.5,64.0,63.2,50.1,2020-12-21
97,2020-12-23T00:00:00.130Z,/sonometros,NoiseLevelObserved,T248684-daily,61.3,62.7,63.4,64.7,50.0,2020-12-22
98,2020-12-24T00:00:18.48Z,/sonometros,NoiseLevelObserved,T248684-daily,63.0,64.4,65.0,66.1,51.8,2020-12-23
99,2020-12-25T00:00:05.954Z,/sonometros,NoiseLevelObserved,T248684-daily,60.7,62.6,63.5,52.6,55.2,2020-12-24
100,2020-12-26T00:00:13.804Z,/sonometros,NoiseLevelObserved,T248684-daily,55.3,56.7,58.5,56.8,49.7,2020-12-25
101,2020-12-27T00:00:09.272Z,/sonometros,NoiseLevelObserved,T248684-daily,64.6,66.3,66.0,66.6,50.0,2020-12-26
102,2020-12-28T00:00:10.624Z,/sonometros,NoiseLevelObserved,T248684-daily,57.7,59.5,59.1,58.6,45.1,2020-12-27
103,2020-12-29T00:00:45.366Z,/sonometros,NoiseLevelObserved,T248684-daily,60.3,62.1,62.5,62.1,50.8,2020-12-28
104,2020-12-30T00:00:46.913Z,/sonometros,NoiseLevelObserved,T248684-daily,59.6,61.3,61.5,60.0,50.3,2020-12-29
105,2020-12-31T00:00:48.775Z,/sonometros,NoiseLevelObserved,T248684-daily,60.2,61.8,62.0,61.7,49.6,2020-12-30
106,2021-01-01T00:00:50.250Z,/sonometros,NoiseLevelObserved,T248684-daily,61.6,63.4,63.8,61.0,53.8,2020-12-31
107,2021-01-02T00:00:53.32Z,/sonometros,NoiseLevelObserved,T248684-daily,58.7,60.1,62.0,58.8,53.8,2021-01-01
108,2021-01-03T00:00:55.392Z,/sonometros,NoiseLevelObserved,T248684-daily,58.9,60.3,61.4,60.8,51.2,2021-01-02
109,2021-01-04T00:00:58.173Z,/sonometros,NoiseLevelObserved,T248684-daily,55.9,57.3,58.2,58.6,46.7,2021-01-03
110,2021-01-05T00:00:15.533Z,/sonometros,NoiseLevelObserved,T248684-daily,60.7,62.5,62.2,61.2,49.4,2021-01-04
111,2021-01-06T00:00:03.420Z,/sonometros,NoiseLevelObserved,T248684-daily,59.8,61.1,62.8,61.4,53.7,2021-01-05
112,2021-01-07T00:00:03.390Z,/sonometros,NoiseLevelObserved,T248684-daily,58.7,58.5,62.4,65.5,50.7,2021-01-06
113,2021-01-08T00:00:19.212Z,/sonometros,NoiseLevelObserved,T248684-daily,59.3,61.0,61.8,58.0,52.7,2021-01-07
114,2021-01-09T00:00:08.361Z,/sonometros,NoiseLevelObserved,T248684-daily,60.3,62.0,62.1,60.4,50.9,2021-01-08
115,2021-01-10T00:00:12.623Z,/sonometros,NoiseLevelObserved,T248684-daily,58.8,60.6,60.9,58.1,50.8,2021-01-09
116,2021-01-11T00:00:14.577Z,/sonometros,NoiseLevelObserved,T248684-daily,57.0,58.8,58.3,57.3,44.3,2021-01-10
117,2021-01-12T00:00:16.214Z,/sonometros,NoiseLevelObserved,T248684-daily,61.7,63.8,62.8,57.7,50.2,2021-01-11
118,2021-01-13T00:00:17.499Z,/sonometros,NoiseLevelObserved,T248684-daily,60.9,63.0,61.8,56.6,48.3,2021-01-12
119,2021-01-14T00:00:19.364Z,/sonometros,NoiseLevelObserved,T248684-daily,61.8,63.6,64.3,57.7,55.6,2021-01-13
120,2021-01-15T00:00:21.954Z,/sonometros,NoiseLevelObserved,T248684-daily,60.6,62.7,61.8,57.0,49.7,2021-01-14
